source_attribute_id,target_attribute_name
www.alibaba.com//auto focus,auto_focus_automatic
www.eglobalcentral.co.uk//focus,auto_focus_automatic
www.flipkart.com//focus,auto_focus_automatic
buy.net//depth,camera_depth
www.alibaba.com//focus control,auto_focus_automatic
buy.net//focal length,focal_length_max
buy.net//focal length,focal_length_min
cammarkt.com//focus type,auto_focus_automatic
www.eglobalcentral.co.uk//focus type,auto_focus_automatic
www.alibaba.com//focusing system,auto_focus_automatic
www.cambuy.com.au//af assist beam,auto_focus_beam
www.camerafarm.com.au//af assist beam,auto_focus_beam
www.canon-europe.com//af assist beam,auto_focus_beam
www.cambuy.com.au//af assist lamp,auto_focus_beam
www.ebay.com//af assist lamp,auto_focus_beam
www.shopmania.in//af illuminator,auto_focus_beam
www.camerafarm.com.au//afassist lamp,auto_focus_beam
www.ilgs.net//auto focus af assist beam,auto_focus_beam
www.ebay.com//auto focus assist light,auto_focus_beam
www.ebay.com//autofocus assist lamp,auto_focus_beam
www.cambuy.com.au//af modes,auto_focus_mode
www.canon-europe.com//af modes,auto_focus_mode
www.ilgs.net//auto focusing af modes,auto_focus_mode
buy.net//focal length 35mm equivalent,focal_length_max
www.cambuy.com.au//focus,auto_focus_mode
www.flipkart.com//focus mode,auto_focus_mode
www.camerafarm.com.au//focus modes,auto_focus_mode
buy.net//focal length 35mm equivalent,focal_length_min
buy.net//iso sensitivity,iso_sensitivity_max
buy.net//longest shutter speed,shutter_speed_min
www.cambuy.com.au//af point selection,auto_focus_points
www.cambuy.com.au//af points,auto_focus_points
www.canon-europe.com//af system  points,auto_focus_points
www.cambuy.com.au//af system points,auto_focus_points
www.camerafarm.com.au//af system points,auto_focus_points
www.canon-europe.com//af system points,auto_focus_points
www.cambuy.com.au//afarea mode,auto_focus_points
www.ebay.com//afarea mode,auto_focus_points
www.ebay.com//afarea modes,auto_focus_points
www.ilgs.net//auto focus af points,auto_focus_points
buy.net//shortest shutter speed,shutter_speed_max
www.camerafarm.com.au//dynamic af mode,auto_focus_points
www.ebay.com//dynamic af mode,auto_focus_points
buy.net//width,camera_width
www.alibaba.com//focus point,auto_focus_points
www.cambuy.com.au//focus point,auto_focus_points
www.camerafarm.com.au//focus point,auto_focus_points
www.ebay.com//focus point,auto_focus_points
cammarkt.com//battery type,battery_chemistry
www.flipkart.com//focusing sysetm,auto_focus_points
www.shopmania.in//number of focus points,auto_focus_points
www.mypriceindia.com//other focus features,auto_focus_points
www.canon-europe.com//af point selection,auto_focus_points_selection
www.ilgs.net//auto focus af points selection,auto_focus_points_selection
cammarkt.com//battery type,battery_type
cammarkt.com//camera resolution,image_resolution
cammarkt.com//camera resolution,image_resolution_lw
cammarkt.com//focal length,focal_length_max
cammarkt.com//focal length,focal_length_min
cammarkt.com//iso speeds,iso_sensitivity_min
www.cambuy.com.au//autofocus af,auto_focus_type
www.camerafarm.com.au//autofocus system,auto_focus_type
cammarkt.com//light sensitivity max,iso_sensitivity_max
cammarkt.com//screen size,screen_size
cammarkt.com//screen size,screen_type
cammarkt.com//shutter speed,shutter_speed_max
cammarkt.com//shutter speed,shutter_speed_min
cammarkt.com//width,camera_width
www.alibaba.com//dimensions,camera_depth
www.alibaba.com//dimensions,camera_height
www.alibaba.com//dimensions,camera_width
www.ebay.com//battery chemistry,battery_chemistry
www.alibaba.com//effective pixels,image_resolution
www.ilgs.net//battery technology,battery_chemistry
www.pcconnection.com//battery technology,battery_chemistry
www.alibaba.com//effective pixels,image_resolution_lw
www.buzzillions.com//battery type,battery_chemistry
www.alibaba.com//image sensor,image_resolution
www.alibaba.com//image sensor,sensor_size
www.walmart.com//battery type,battery_chemistry
www.alibaba.com//image sensor,sensor_type
www.alibaba.com//resolution,image_resolution
www.ilgs.net//battery life max,battery_duration_hours
cammarkt.com//battery life,battery_duration_shots
www.cambuy.com.au//battery life,battery_duration_shots
www.cambuy.com.au//battery life cipa standard,battery_duration_shots
www.ilgs.net//battery life cipa standard,battery_duration_shots
www.alibaba.com//resolution,video_resolution
www.alibaba.com//shutter time,shutter_speed_max
www.alibaba.com//shutter time,shutter_speed_min
www.alibaba.com//total pixel no,image_resolution_lw
www.alibaba.com//total pixel no,video_resolution
www.buzzillions.com//compatible battery,battery_chemistry
www.buzzillions.com//compatible battery,battery_type
buy.net//battery model supported,battery_type
www.buzzillions.com//depth inches,camera_depth
www.buzzillions.com//focus modes,auto_focus_automatic
www.buzzillions.com//focus modes,auto_focus_points
www.buzzillions.com//focus modes,auto_focus_type
www.buzzillions.com//height inches,camera_height
cammarkt.com//brand,brand
www.camerafarm.com.au//brand,brand
www.ebay.com//brand,brand
www.flipkart.com//brand,brand
www.price-hunt.com//brand,brand
www.buzzillions.com//movie mode,video_format
www.buzzillions.com//movie mode,video_resolution
www.buzzillions.com//shutter speed,shutter_speed_max
www.shopmania.in//brand,brand
www.buzzillions.com//shutter speed,shutter_speed_min
www.buzzillions.com//width inches,camera_width
buy.net//brand name,brand
cammarkt.com//manufacturer,brand
