source_attribute_id,target_attribute_name
buy.net//64bit processing,is_cpu_64bit
buy.net//aspect ratio,aspect_ratio
buy.net//battery life,battery_life
buy.net//brand name,brand
buy.net//cache size,cpu_cache
buy.net//depth,dimensions_depth
buy.net//depth,dimensions
buy.net//dimensions,dimensions
buy.net//dimensions,dimensions_depth
buy.net//dimensions,dimensions_height
buy.net//dimensions,dimensions_width
buy.net//display size,display_size
buy.net//display type,display_type
buy.net//graphics memory technology,ram_type
buy.net//hard drive capacity,hdd_capacity
buy.net//hard drive rpm,hdd_speed
buy.net//height,dimensions_height
buy.net//installed memory,ram_capacity
buy.net//interface connection,has_hdmi_port
buy.net//interface connection,usb_port2_quantity
buy.net//interface connection,usb_port3_quantity
buy.net//max resolution,display_resolution
buy.net//maximum memory,ram_capacity_max
buy.net//memory card reader,has_memorycard_reader
buy.net//memory technology,ram_type
buy.net//normalizeddisplay size,display_size
buy.net//normalizedhard drive capacity,hdd_capacity
buy.net//normalizedheight,dimensions_height
buy.net//normalizedinstalled memory,ram_capacity
buy.net//normalizedprocessor speed,cpu_frequency
buy.net//normalizedweight,weight
buy.net//number of hard drives included,hdd_capacity
buy.net//number of processor cores,cpu_type
buy.net//number of usb 20 ports,usb_port2_quantity
buy.net//number of usb 30 ports,usb_port3_quantity
buy.net//processor class,cpu_brand
buy.net//processor class,cpu_type
buy.net//processor model,cpu_type
buy.net//processor model,cpu_model
buy.net//processor speed,cpu_frequency
buy.net//solid state drive capacity,ssd_capacity
buy.net//warranty information,warranty_duration
buy.net//weight,weight
buy.net//width,dimensions_width
buy.net//width,dimensions
catalog.com//64bit computing,is_cpu_64bit
catalog.com//brand,brand
catalog.com//clock speed,cpu_frequency
livehotdeals.com//display,display_resolution
livehotdeals.com//display,display_size
livehotdeals.com//display,display_type
livehotdeals.com//hard drives,hdd_capacity
livehotdeals.com//hard drives,hdd_speed
livehotdeals.com//memory,ram_capacity
livehotdeals.com//memory,ram_frequency
livehotdeals.com//memory,ram_type
livehotdeals.com//processors,cpu_brand
livehotdeals.com//processors,cpu_frequency
livehotdeals.com//processors,cpu_model
livehotdeals.com//processors,cpu_type
livehotdeals.com//support,warranty_duration
wallmartphoto.com//accessories included,battery_chemistry
wallmartphoto.com//battery life,battery_life
wallmartphoto.com//battery type,battery_chemistry
wallmartphoto.com//hard drive size,hdd_capacity
wallmartphoto.com//laptop screen size,display_size
wallmartphoto.com//maximum memory expansion,ram_capacity_max
wallmartphoto.com//monitor size,display_size
wallmartphoto.com//processor brand,cpu_brand
wallmartphoto.com//processor speed,cpu_frequency
wallmartphoto.com//processor type,cpu_brand
wallmartphoto.com//processor type,cpu_model
wallmartphoto.com//processor type,cpu_type
wallmartphoto.com//product in inches l x w x h,dimensions
wallmartphoto.com//product in inches l x w x h,dimensions_height
wallmartphoto.com//product in inches l x w x h,dimensions_depth
wallmartphoto.com//product in inches l x w x h,dimensions_width
wallmartphoto.com//resolution,display_resolution
wallmartphoto.com//screen type,display_type
wallmartphoto.com//shipping weight in pounds,packaging_weight
wallmartphoto.com//system ram,ram_capacity
www.alibaba.com//13battery,battery_life
www.alibaba.com//13battery,battery_capacity
www.alibaba.com//2 dimensions,dimensions
www.alibaba.com//2 dimensions,dimensions_height
www.alibaba.com//2 dimensions,dimensions_width
www.alibaba.com//2 dimensions,dimensions_depth
www.alibaba.com//5cpu,cpu_frequency
www.alibaba.com//5cpu,cpu_type
www.alibaba.com//7memory,ram_capacity
www.alibaba.com//7memory,ram_type
www.alibaba.com//8nand flash,flash_capacity
www.alibaba.com//9tft monitor,aspect_ratio
www.alibaba.com//9tft monitor,display_resolution
www.alibaba.com//9tft monitor,display_size
www.alibaba.com//aspect ratio,aspect_ratio
www.alibaba.com//basic parameter,cpu_brand
www.alibaba.com//basic parameter,cpu_type
www.alibaba.com//basic parameter,cpu_model
www.alibaba.com//basic parameter,cpu_frequency
www.alibaba.com//basic specifications,cpu_brand
www.alibaba.com//basic specifications,cpu_frequency
www.alibaba.com//basic specifications,cpu_model
www.alibaba.com//basic specifications,cpu_type
www.alibaba.com//battery,battery_capacity
www.alibaba.com//battery,battery_chemistry
www.alibaba.com//battery capacity,battery_capacity
www.alibaba.com//battery capacity,battery_chemistry
www.alibaba.com//battery life,battery_life
www.alibaba.com//battery pack,battery_capacity
www.alibaba.com//battery pack,battery_chemistry
www.alibaba.com//battery parameter,battery_capacity
www.alibaba.com//battery power,battery_chemistry
www.alibaba.com//battery  run time up to,battery_life
www.alibaba.com//battery  run timeup to,battery_life
www.alibaba.com//battery time,battery_life
www.alibaba.com//battery type,battery_capacity
www.alibaba.com//battery type,battery_chemistry
www.alibaba.com//battery working time,battery_life
www.alibaba.com//battery working time,battery_capacity
www.alibaba.com//body,dimensions
www.alibaba.com//body,dimensions_height
www.alibaba.com//body,dimensions_width
www.alibaba.com//body,dimensions_depth
www.alibaba.com//body size,dimensions
www.alibaba.com//body size,dimensions_height
www.alibaba.com//body size,dimensions_width
www.alibaba.com//body size,dimensions_depth
www.alibaba.com//bodypack size,dimensions
www.alibaba.com//bodypack size,dimensions_height
www.alibaba.com//bodypack size,dimensions_width
www.alibaba.com//bodypack size,dimensions_depth
www.alibaba.com//brand,brand
www.alibaba.com//brand name,brand
www.alibaba.com//builtin nand flash,flash_capacity
www.alibaba.com//capacity,battery_capacity
www.alibaba.com//capacity of ram,ram_capacity
www.alibaba.com//capacity of ram,ram_capacity_max
www.alibaba.com//carton,packaging_dimensions
www.alibaba.com//carton,packaging_dimensions_height
www.alibaba.com//carton,packaging_dimensions_depth
www.alibaba.com//carton,packaging_dimensions_width
www.alibaba.com//carton dimension,packaging_dimensions
www.alibaba.com//carton dimension,packaging_dimensions_height
www.alibaba.com//carton dimension,packaging_dimensions_depth
www.alibaba.com//carton dimension,packaging_dimensions_width
www.alibaba.com//carton size,packaging_dimensions
